player.id,Spielername,Nationalteam.name,Club.name,Reason
354831,Thapelo Maseko,South Africa,,empty-club-name
158433,Sphephelo Sithole,South Africa,,empty-club-name
510799,M. Mbokazi,South Africa,,empty-club-name
127429,I. Rayners,South Africa,,empty-club-name
46417,S. Chaine,South Africa,,empty-club-name
201354,E. Makgopa,South Africa,,empty-club-name
153430,Anthony Junior Elanga,Sweden,,empty-club-name
158700,V. Johansson,Sweden,,empty-club-name
2860,K. Sema,Sweden,,empty-club-name
47903,H. Ekdal,Sweden,,empty-club-name
47988,C. Starfelt,Sweden,,empty-club-name
48047,J. Karlström,Sweden,,empty-club-name
533394,C. Abdelmouhib,Tunisia,,empty-club-name
25300,Rani Khedira,Tunisia,,empty-club-name
533295,K. Ayari,Tunisia,,empty-club-name
67195,H. Mahmoud,Tunisia,,empty-club-name
49424,A. Dahmen,Tunisia,,empty-club-name
21587,E. Skhiri,Tunisia,,empty-club-name
566059,R. Elloumi,Tunisia,,empty-club-name
533360,R. Chikhaoui,Tunisia,,empty-club-name
51530,Federico Viñas Barboza,Uruguay,,empty-club-name
51466,J. Piquerez,Uruguay,,empty-club-name
429,F. Muslera,Uruguay,,empty-club-name
135334,S. Bueno,Uruguay,,empty-club-name
162891,J. Sanabria,Uruguay,,empty-club-name
108563,R. Zalazar,Uruguay,,empty-club-name
532759,F. Sayfiev,Uzbekistan,,empty-club-name
416952,A. Abdullaev,Uzbekistan,,empty-club-name
65584,Azizbek Amonov,Uzbekistan,,empty-club-name
72128,I. Sergeev,Uzbekistan,,empty-club-name
263676,A. Fayzullaev,Uzbekistan,,empty-club-name
363723,S. Esanov,Uzbekistan,,empty-club-name
416964,B. Karimov,Uzbekistan,,empty-club-name
65571,A. Ulmasaliev,Uzbekistan,,empty-club-name
